,1,3,5,7,9,11,13,15,17,19,21,23,25,27
1,0.268,0.218,0.200,0.177,0.142,0.121,0.086,0.002,0.129,0.168,0.201,0.216,0.258,0.308
3,0.515,0.440,0.399,0.337,0.307,0.260,0.165,0.002,0.227,0.309,0.387,0.380,0.450,0.512
5,0.734,0.663,0.617,0.523,0.502,0.423,0.325,0.002,0.475,0.526,0.612,0.580,0.666,0.731
7,0.948,0.891,0.830,0.744,0.727,0.707,0.581,0.539,0.806,0.815,0.930,0.945,1.093,0.953
9,1.161,1.139,1.092,1.037,0.995,0.965,0.905,0.901,1.142,1.173,1.260,1.200,1.220,1.195
11,1.377,1.367,1.328,1.297,1.290,1.290,1.303,1.227,1.440,1.518,1.563,1.505,1.498,1.456
13,1.624,1.625,1.596,1.594,1.606,1.617,1.579,1.552,1.756,1.826,1.859,1.836,1.799,1.721
15,1.880,1.907,1.863,1.872,1.905,1.887,1.838,1.883,2.064,2.098,2.111,2.120,2.064,1.994
17,2.146,2.163,2.150,2.173,2.176,2.147,2.138,2.181,2.317,2.339,2.350,2.338,2.315,2.261
